65,-675,3,
115,-675,3,
270,-675,3,
340,-675,3,
500,-675,3,
600,-675,3,
650,-675,3,
775,-675,3,
830,-675,3,
885,-675,3,
1060,-675,2,
1115,-675,2,
915,-930,2,
865,-980,2,
820,-1025,2,
770,-1075,2,
720,-1125,2,
675,-1170,0,
630,-1215,0,
585,-1260,0,
540,-1305,0,
495,-1350,0,
450,-1395,0,
405,-1440,0,
365,-1480,0,
320,-1525,0,
275,-1570,0,
230,-1615,0,
185,-1660,0,
140,-1705,0,
100,-1745,0,
55,-1790,0,
200,-1795,1,
250,-1795,1,
295,-1795,1,
340,-1795,1,
385,-1755,1,
430,-1710,1,
475,-1665,1,
520,-1620,1,
565,-1575,1,
605,-1535,1,
655,-1485,1,
695,-1445,1,
745,-1395,1,
785,-1355,1,
830,-1325,1,
885,-1365,1,
935,-1415,1,
980,-1460,1,
1020,-1500,1,
1000,-1545,1,
950,-1595,1,
900,-1645,1,
860,-1685,1,
815,-1730,1,
765,-1760,1,
715,-1810,1,
665,-1860,1,
620,-1905,1,
585,-1935,1,
500,-1865,2,
450,-1815,2,
485,-1765,2,
530,-1720,2,
580,-1670,2,
530,-1575,2,
495,-1530,2,
540,-1480,2,
590,-1430,2,
570,-1385,2,
525,-1340,2,
515,-1295,2,
565,-1245,2,
610,-1200,2,
620,-1155,2,
570,-1105,2,
520,-1055,2,
535,-1010,2,
575,-970,2,
620,-925,2,
620,-885,2,
570,-895,2,
500,-965,2,
450,-1015,2,
405,-1060,2,
360,-1105,2,
365,-1150,2,
410,-1195,2,
425,-1240,2,
385,-1285,2,
405,-1325,2,
