65,-675,0,
115,-675,0,
270,-675,0,
340,-675,0,
500,-675,0,
600,-675,0,
650,-675,0,
775,-675,0,
830,-675,0,
885,-675,0,
1060,-675,0,
1115,-675,0,
915,-930,0,
865,-980,0,
820,-1025,0,
770,-1075,0,
720,-1125,0,
675,-1170,0,
630,-1215,0,
585,-1260,0,
540,-1305,0,
495,-1350,0,
450,-1395,0,
405,-1440,0,
365,-1480,0,
320,-1525,0,
275,-1570,0,
230,-1615,0,
185,-1660,0,
140,-1705,0,
100,-1745,0,
55,-1790,0,
200,-1795,1,
250,-1795,1,
295,-1795,1,
340,-1795,1,
385,-1755,1,
430,-1710,1,
475,-1665,1,
520,-1620,1,
565,-1575,1,
605,-1535,1,
655,-1485,1,
695,-1445,1,
745,-1395,1,
785,-1355,1,
830,-1325,1,
885,-1365,1,
935,-1415,1,
980,-1460,1,
1020,-1500,1,
1000,-1545,1,
950,-1595,1,
900,-1645,1,
860,-1685,1,
815,-1730,1,
765,-1760,1,
715,-1810,1,
665,-1860,1,
620,-1905,1,
585,-1935,1,
